product,title,view_count,like_count,comment_count,published_at
iPhone 17,iPhone 17 Review: No Asterisks!,5670799,161319,5550,2025-10-01
Nvidia RTX 5090,The RTX 5090 is No Longer the Best 🤯,5436216,192498,2939,2025-06-04
Nvidia RTX 5090,The RTX 5090 - Our Biggest Review Ever,3465849,104532,8812,2025-01-23
Nvidia RTX 5090,Why Is the RTX 5090 So Expensive?!,2255330,79025,779,2025-10-06
Air Jordan 11,Are Jordan 11s still good for basketball?,1722277,89841,413,2023-02-02
Nvidia RTX 5090,Tested: Most People Should NOT Buy a 5090 (Even if you CAN),1324590,37788,2155,2025-06-23
Nvidia RTX 5090,"NVIDIA GeForce RTX 5090 Founders Edition Review & Benchmarks: Gaming, Thermals, ",954155,41421,4640,2025-01-23
PS5 Pro,PS5 Pro - Before You Buy,816855,25352,4595,2024-11-12
iPhone 17,You Should Probably Buy an iPhone 17,790717,20180,517,2025-09-20
Owala FreeSip,"Why are Owala Bottles Popular, and Are They Actually Good?",788909,9862,597,2024-05-23
PS5 Pro,PS5 Pro - What The Reviews Don't Show You...,754957,0,1253,2024-12-10
Nvidia RTX 5090,Full in-Depth RTX 5090 Review!,741813,34129,3705,2025-01-23
PS5 Pro,PS5 Pro (PlayStation 5 Pro) Review,552318,9991,2931,2024-11-06
PS5 Pro,PS5 Pro: 6 Months Later Review!,549020,10980,1837,2025-06-20
iPhone 17,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,541745,16858,797,2025-11-07
PS5 Pro,PS5 Pro - 6 MONTHS LATER,526434,14310,2345,2025-06-09
iPhone 17,iPhone 17 Review: Apple’s Real Winner This Year!,448275,5561,647,2025-09-19
Air Jordan 11,Jordan 11 High Hater!🤢👟  #shoereseller #sneakers #sneakerpolitics #shoes #thesne,440579,3006,88,2025-01-28
Nvidia RTX 5090,"Nvidia GeForce RTX 5090 Review, 1440p & 4K Gaming Benchmarks",397202,23573,4776,2025-01-23
Owala FreeSip,The Owala FreeSip Sway Has Some Major Upgrades #waterbottle,310874,3347,72,2025-06-23
iPhone 17,iPhone 17: A Practical Review After 100 Days!,278159,6610,304,2025-12-31
Nvidia RTX 5090,Nvidia GeForce RTX 5090 Review: The Fastest Gaming GPU (A Lot Of) Money Can Buy,233783,8918,1629,2025-01-23
iPhone 17,Apple iPhone 17 full review,220777,2980,227,2025-10-07
Owala FreeSip,Why Owala Sway is the Best Water Bottle for Everyday Use (and It's Not Even Clos,218775,3375,245,2026-01-11
iPhone 17,iPhone 17 Review - 1 Month Later!,192105,1897,198,2025-12-13
Owala FreeSip,Is Owala's FreeSip Sway Better than the Original? (All 12 Changes),188728,2367,135,2025-02-15
PS5 Pro,Should You Buy a PS5 or PS5 Pro in 2026 — Or Just WAIT? (My Honest Take),184215,632,438,2026-04-01
Air Jordan 11,Air Jordan 11 Gamma 2025,154688,4617,555,2025-11-28
Air Jordan 11,Air Jordan 11 Gamma 2025 Review & On Feet,148679,2674,549,2025-11-15
Nvidia RTX 5090,The RTX 5090 is INSANE. You Probably Shouldn't Buy It.,141420,4103,488,2025-01-23
Owala FreeSip,Owala FreeSip Water Bottle Review (2 Weeks of Use),139537,1237,131,2022-05-26
Air Jordan 11,Air Jordan 11 Varsity Performance Review From The Inside Out - Can They Still Pl,137737,1966,202,2022-11-17
iPhone 17,iPhone 17 Honest Review After 2 Months,124857,2438,298,2025-12-06
Owala FreeSip,Honest Review + Demo of Owala Water Bottle,101547,966,125,2025-07-04
Air Jordan 11,Air Jordan 11 Rare Air Review,93927,3317,318,2025-10-29
iPhone 17,iPhone 17 Long Term Review - Just Get it!!,90070,1645,262,2026-02-20
iPhone 17,iPhone 17 Review – Forget the 17 Pro!,87054,1867,138,2025-11-20
Air Jordan 11,HOW GOOD ARE THE AIR JORDAN 11 GAMMA 2025 SNEAKERS?! (Early In Hand & On Feet Re,84657,2905,445,2025-12-02
PS5 Pro,PS5 Pro One Year Later - Should You Buy One Now?,63400,1427,506,2025-11-07
PS5 Pro,PS5 Pro Review After 1 Year - Was It Worth It?,58232,1020,243,2026-02-12
PS5 Pro,PS5 Pro: One Year Later Review – Was It A Scam?,49652,858,431,2025-12-15
Air Jordan 11,We Have A Problem...Air Jordan 11 Gamma 2025 ON FEET REVIEW! WATCH BEFORE YOU BU,48621,1509,291,2025-12-13
Air Jordan 11,Air Jordan 11 Mojave Review,43361,1790,217,2025-11-17
Nvidia RTX 5090,Nvidia GeForce RTX 5090 Review: Nvidia's Next-Gen Beast,35010,602,168,2025-01-23
Owala FreeSip,Why Is Everyone Obsessed With Owala? (I Tested It to Find Out),33231,697,58,2026-01-30
Owala FreeSip,Are Owala FreeSip Bottles Good? (Main Pros and Cons in 2 Minutes),31961,140,12,2025-01-16
Owala FreeSip,Owala NEW Free Sip Tumbler Review,17378,202,25,2025-02-16
PS5 Pro,I Spent $799 on a PS5 Pro. Does PSSR 2.0 Finally Make It Worth It?,8620,114,90,2026-04-02
Owala FreeSip,Owala FreeSip Tumbler Review (2 Weeks of Use),8465,123,8,2025-05-13
Air Jordan 11,Can You Still Hoop In The Jordan 11? - Air Jordan 11 Performance Review,4865,146,23,2025-12-16
